"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a test case attachment can be deleted","2970","Verify a test case attachment can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify a test run attachment can be deleted","2967","Verify a test run attachment can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify an attachment can be added to a test case","4172","Verify an attachment can be added to a test case","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify a section can be moved into another section","3443","Verify a section can be moved into another section","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","moveSection"
"Verify a section can be updated","1090","Verify a section can be updated","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","updateSection"
"Verify a test run attachment can be retrieved","1074","Verify a test run attachment can be retrieved","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify selection can be created","4299","Verify selection can be created","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","checkCreateSection"
"Verify created sections can be deleted","3476","Verify created sections can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","deleteSections"
"Verify an attachment can be added to a test run","2786","Verify an attachment can be added to a test run","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify a test case attachment can be retrieved","1199","Verify a test case attachment can be retrieved","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
