"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the created section with the test case can be deleted","1130","Verify the created section with the test case can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Add passed result to a test","33422","Add passed result to a test","UI Regression tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Update user's name","10357","Verify user's name can be updated","UI Regression tests","2026-07-19","passed","2026-07-19","Settings functionality tests","UI Tests","tests.ui.SettingsTest","updateUsersName"
"Priority change is reflected in case history","13584","Priority change is reflected in case history","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","priorityChangeInHistoryTest"
"Complete milestone","28476","Verify milestone can be completed","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Create a new project","12555","Create a new project","UI Smoke tests","2026-07-19","passed","2026-07-19","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Filter tests in run by status","33914","Filter tests in run by status","UI Regression tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Check milestone data","27858","Verify milestone data is displayed","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","checkMilestoneDataTest"
"Create milestone","20592","Verify milestone can be created","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","createMilestoneTest"
"Move test case to another section via edit form","14161","Move test case to another section via edit form","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Delete milestone","25151","Verify milestone can be deleted","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Verify API authentication succeeds with valid credentials","5054","Verify API authentication succeeds with valid credentials","API regression tests","2026-07-19","passed","2026-07-19","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify a section can be moved into another section","3103","Verify a section can be moved into another section","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Create and then delete a project","12910","Create and then delete a project","UI Regression tests","2026-07-19","broken","2026-07-19","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
"Create role","10459","Verify role can be created","UI Regression tests","2026-07-19","passed","2026-07-19","Role management functionality tests","UI Tests","tests.ui.RolesTest","createRole"
"Verify a result can be added to a test run","1335","Verify a result can be added to a test run","API regression tests","2026-07-19","passed","2026-07-19","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","addResultForCase"
"Change color scheme","13677","Verify color scheme can be changed","UI Regression tests","2026-07-19","passed","2026-07-19","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeColorScheme"
"Log out from the application","8413","Log out from the application","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Create user","20203","Verify user can be created","UI Regression tests","2026-07-19","failed","2026-07-19","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","createUserTest"
"Add test case to suite","25456","Add test case to suite","UI Regression tests","2026-07-19","passed","2026-07-19","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Verify a test case can be created","2232","Verify a test case can be created","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
"Session expires after clearing browser cookies","8134","Session expires after clearing browser cookies","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","sessionExpiredAfterCookieClear"
"Edit project name","16617","Edit project name","UI Regression tests","2026-07-19","passed","2026-07-19","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","editProjectNameTest"
"Delete user group","12556","Verify group can be deleted","UI Regression tests","2026-07-19","passed","2026-07-19","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
"Login with invalid credentials shows error","5071","Login with invalid credentials shows error","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Update user group","13686","Verify group can be updated","UI Regression tests","2026-07-19","passed","2026-07-19","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
"Verify an attachment can be added to a test case","3848","Verify an attachment can be added to a test case","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify the projects list can be retrieved","1976","Verify the projects list can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"View test run statistics","35613","View test run statistics","UI Regression tests","2026-07-19","passed","2026-07-19","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Verify a test run attachment can be deleted","2943","Verify a test run attachment can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify a test case attachment can be retrieved","1081","Verify a test case attachment can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Edit test case title via edit form","12529","Edit test case title via edit form","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","editTestCaseTest"
"Verify a test run attachment can be retrieved","1042","Verify a test run attachment can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Fill a custom field (Preconditions) of a test case","13370","Fill a custom field of a test case","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","fillCustomFieldTest"
"Change test case priority","13090","Change test case priority","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","changePriorityInTestCaseTest"
"Verify the created project can be deleted","1039","Verify the created project can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Create and then delete a test case","16751","Create and then delete a test case","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","testCaseCreationAndDeletionTest"
