"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Add test case to suite","33544","Add test case to suite","UI Regression tests","2026-07-24","failed","2026-07-24","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Create milestone","30010","Verify milestone can be created","UI Regression tests","2026-07-24","passed","2026-07-24","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","createMilestoneTest"
"Filter tests in run by status","41706","Filter tests in run by status","UI Regression tests","2026-07-24","passed","2026-07-24","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Verify a test case title can be updated","919","Verify a test case title can be updated","API regression tests","2026-07-24","passed","2026-07-24","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","updateTestCase"
"Create user","0","Verify user can be created","UI Regression tests","2026-07-24","unknown","2026-07-24","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","createUserTest"
"Verify a test case attachment can be retrieved","857","Verify a test case attachment can be retrieved","API regression tests","2026-07-24","passed","2026-07-24","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify the projects list can be retrieved","1902","Verify the projects list can be retrieved","API regression tests","2026-07-24","passed","2026-07-24","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"Delete milestone","37476","Verify milestone can be deleted","UI Regression tests","2026-07-24","passed","2026-07-24","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Verify a project can be created","874","Verify a project can be created","API regression tests","2026-07-24","passed","2026-07-24","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","createProject"
"Verify API authentication fails with invalid credentials","808","Verify API authentication fails with invalid credentials","API regression tests","2026-07-24","passed","2026-07-24","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Create a new test case","16984","Create a new test case","UI Smoke tests","2026-07-24","passed","2026-07-24","Test cases functionality tests","Smoke Tests","tests.ui.TestCaseTest","testCaseCreationTest"
"Add passed result to a test","45345","Add passed result to a test","UI Regression tests","2026-07-24","passed","2026-07-24","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Verify an attachment can be added to a test case","3416","Verify an attachment can be added to a test case","API regression tests","2026-07-24","passed","2026-07-24","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Complete milestone","41852","Verify milestone can be completed","UI Regression tests","2026-07-24","passed","2026-07-24","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Update role","17337","Verify role can be updated","UI Regression tests","2026-07-24","passed","2026-07-24","Role management functionality tests","UI Tests","tests.ui.RolesTest","updateRole"
"Log out from the application","9923","Log out from the application","UI Regression tests","2026-07-24","passed","2026-07-24","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Create role","14309","Verify role can be created","UI Regression tests","2026-07-24","passed","2026-07-24","Role management functionality tests","UI Tests","tests.ui.RolesTest","createRole"
"Create test suite","26496","Create test suite","UI Smoke tests","2026-07-24","passed","2026-07-24","Test suites functionality tests","Smoke Tests","tests.ui.TestSuiteTest","createSuiteTest"
"Login with invalid credentials shows error","5907","Login with invalid credentials shows error","UI Regression tests","2026-07-24","passed","2026-07-24","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Change color scheme","24422","Verify color scheme can be changed","UI Regression tests","2026-07-24","passed","2026-07-24","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeColorScheme"
"Update user data","0","Verify user data can be updated","UI Regression tests","2026-07-24","unknown","2026-07-24","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Login with valid credentials","9749","Login with valid credentials","UI Smoke tests","2026-07-24","passed","2026-07-24","Authentication functionality tests","Smoke Tests","tests.ui.LoginTest","loginTest"
"Verify the created project can be deleted","869","Verify the created project can be deleted","API regression tests","2026-07-24","passed","2026-07-24","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Verify a test case can be created","1916","Verify a test case can be created","API regression tests","2026-07-24","passed","2026-07-24","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
"Verify project test cases can be retrieved","1045","Verify project test cases can be retrieved","API regression tests","2026-07-24","passed","2026-07-24","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","getTestCases"
"Create user group","28838","Verify group can be created","UI Regression tests","2026-07-24","passed","2026-07-24","Group management functionality tests","UI Tests","tests.ui.GroupTest","createGroupTest"
"Verify selection can be created","1149","Verify selection can be created","API regression tests","2026-07-24","passed","2026-07-24","Sections functionality tests","API Tests","tests.api.SectionAPITest","checkCreateSection"
"Create a new project","17447","Create a new project","UI Smoke tests","2026-07-24","passed","2026-07-24","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Verify a test case attachment can be deleted","2585","Verify a test case attachment can be deleted","API regression tests","2026-07-24","passed","2026-07-24","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify an attachment can be added to a test run","2567","Verify an attachment can be added to a test run","API regression tests","2026-07-24","passed","2026-07-24","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Change language","18152","Verify language can be changed","UI Regression tests","2026-07-24","passed","2026-07-24","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeLanguage"
"Verify API authentication succeeds with valid credentials","5164","Verify API authentication succeeds with valid credentials","API regression tests","2026-07-24","passed","2026-07-24","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Add failed result with attachment","43790","Add failed result with attachment","UI Regression tests","2026-07-24","passed","2026-07-24","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Verify a section can be updated","1001","Verify a section can be updated","API regression tests","2026-07-24","passed","2026-07-24","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
"Create and then delete a test case","30439","Create and then delete a test case","UI Regression tests","2026-07-24","failed","2026-07-24","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","testCaseCreationAndDeletionTest"
"Fill a custom field (Preconditions) of a test case","16285","Fill a custom field of a test case","UI Regression tests","2026-07-24","passed","2026-07-24","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","fillCustomFieldTest"
"Open an existing test case","12555","Open an existing test case","UI Regression tests","2026-07-24","passed","2026-07-24","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","openTestCaseTest"
