"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Change language","14919","Verify language can be changed","UI Regression tests","2026-07-21","passed","2026-07-21","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeLanguage"
"Verify a test case attachment can be deleted","2978","Verify a test case attachment can be deleted","API regression tests","2026-07-21","passed","2026-07-21","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Add test case to suite","26993","Add test case to suite","UI Regression tests","2026-07-21","passed","2026-07-21","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Edit project name","18927","Edit project name","UI Regression tests","2026-07-21","passed","2026-07-21","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","editProjectNameTest"
"Verify the projects list can be retrieved","1675","Verify the projects list can be retrieved","API regression tests","2026-07-21","passed","2026-07-21","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"Delete user group","13804","Verify group can be deleted","UI Regression tests","2026-07-21","passed","2026-07-21","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
"Export run results to a file","35490","Export run results to a file","UI Regression tests","2026-07-21","passed","2026-07-21","Reports functionality tests","UI Tests","tests.ui.ReportTest","exportRunResultsTest"
"Change color scheme","14762","Verify color scheme can be changed","UI Regression tests","2026-07-21","passed","2026-07-21","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeColorScheme"
"Verify an attachment can be added to a test case","4058","Verify an attachment can be added to a test case","API regression tests","2026-07-21","passed","2026-07-21","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Suite shows test cases count","22518","Suite shows test cases count","UI Regression tests","2026-07-21","passed","2026-07-21","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","suiteShowsCasesCountTest"
"Add failed result with attachment","52212","Add failed result with attachment","UI Regression tests","2026-07-21","passed","2026-07-21","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Login with invalid credentials shows error","5123","Login with invalid credentials shows error","UI Regression tests","2026-07-21","passed","2026-07-21","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Verify a section can be moved into another section","3192","Verify a section can be moved into another section","API regression tests","2026-07-21","passed","2026-07-21","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Priority change is reflected in case history","15288","Priority change is reflected in case history","UI Regression tests","2026-07-21","passed","2026-07-21","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","priorityChangeInHistoryTest"
"Compare results of two runs","47681","Compare results of two runs","UI Regression tests","2026-07-21","passed","2026-07-21","Reports functionality tests","UI Tests","tests.ui.ReportTest","compareRunsTest"
"Complete milestone","32695","Verify milestone can be completed","UI Regression tests","2026-07-21","passed","2026-07-21","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Add passed result to a test","37795","Add passed result to a test","UI Regression tests","2026-07-21","passed","2026-07-21","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Create role","12059","Verify role can be created","UI Regression tests","2026-07-21","passed","2026-07-21","Role management functionality tests","UI Tests","tests.ui.RolesTest","createRole"
"Verify a test run attachment can be deleted","3019","Verify a test run attachment can be deleted","API regression tests","2026-07-21","passed","2026-07-21","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Delete milestone","28748","Verify milestone can be deleted","UI Regression tests","2026-07-21","passed","2026-07-21","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Login with valid credentials","8833","Login with valid credentials","UI Smoke tests","2026-07-21","passed","2026-07-21","Authentication functionality tests","Smoke Tests","tests.ui.LoginTest","loginTest"
"Verify project test runs can be retrieved","4676","Verify project test runs can be retrieved","API regression tests","2026-07-21","passed","2026-07-21","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getTestRuns"
"Verify a section can be updated","1125","Verify a section can be updated","API regression tests","2026-07-21","passed","2026-07-21","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
