"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify project test cases can be retrieved","876","Verify project test cases can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","getTestCases"
"Verify API authentication fails with invalid credentials","742","Verify API authentication fails with invalid credentials","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AuthAPITest","Surefire test","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify a test case title can be updated","901","Verify a test case title can be updated","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","updateTestCase"
"Verify created test data can be deleted","1894","Verify created test data can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","deleteTestRunData"
"Verify a section can be updated","844","Verify a section can be updated","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","updateSection"
"Verify an attachment can be added to a test run","2761","Verify an attachment can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify test run results can be retrieved","943","Verify test run results can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","getResultsForRun"
"Verify a test case attachment can be retrieved","898","Verify a test case attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify created sections can be deleted","2940","Verify created sections can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","deleteSections"
"Verify the created project can be deleted","858","Verify the created project can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","deleteProject"
"Verify a test case can be created","2058","Verify a test case can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","createTestCase"
"Verify API authentication succeeds with valid credentials","3019","Verify API authentication succeeds with valid credentials","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AuthAPITest","Surefire test","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify a test case attachment can be deleted","3295","Verify a test case attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify the projects list can be retrieved","959","Verify the projects list can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","getProjects"
"Verify a test run attachment can be retrieved","863","Verify a test run attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify the created section with the test case can be deleted","859","Verify the created section with the test case can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify a section can be moved into another section","2541","Verify a section can be moved into another section","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","moveSection"
"Verify an attachment can be added to a test case","3445","Verify an attachment can be added to a test case","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify a test run attachment can be deleted","2900","Verify a test run attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify a project can be created","917","Verify a project can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","createProject"
"Verify selection can be created","1454","Verify selection can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","checkCreateSection"
"Verify project test runs can be retrieved","3664","Verify project test runs can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","getTestRuns"
"Verify a result can be added to a test run","1088","Verify a result can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","addResultForCase"
