"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a project can be created","1183","Verify a project can be created","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","createProject"
"Create user group","12915","Verify group can be created","UI Regression tests","2026-07-19","passed","2026-07-19","Group management functionality tests","UI Tests","tests.ui.GroupTest","createGroupTest"
"Verify a test case attachment can be deleted","2947","Verify a test case attachment can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Change test case priority","13622","Change test case priority","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","changePriorityInTestCaseTest"
"Add test case to suite","25059","Add test case to suite","UI Regression tests","2026-07-19","passed","2026-07-19","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Create user","15821","Verify user can be created","UI Regression tests","2026-07-19","passed","2026-07-19","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","createUserTest"
"Create test run","37167","Create test run","UI Smoke tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"Verify the created project can be deleted","1020","Verify the created project can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Verify the created section with the test case can be deleted","1058","Verify the created section with the test case can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify a section can be updated","1045","Verify a section can be updated","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
"Verify a test run attachment can be deleted","2863","Verify a test run attachment can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify selection can be created","1322","Verify selection can be created","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","checkCreateSection"
"Edit test case title via edit form","13274","Edit test case title via edit form","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","editTestCaseTest"
