"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a test case title can be updated","1105","Verify a test case title can be updated","API regression tests","2026-07-20","passed","2026-07-20","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","updateTestCase"
"Verify API authentication fails with invalid credentials","1082","Verify API authentication fails with invalid credentials","API regression tests","2026-07-20","passed","2026-07-20","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify project test cases can be retrieved","1050","Verify project test cases can be retrieved","API regression tests","2026-07-20","passed","2026-07-20","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","getTestCases"
"Create role","11738","Verify role can be created","UI Regression tests","2026-07-20","passed","2026-07-20","Role management functionality tests","UI Tests","tests.ui.RolesTest","createRole"
"Verify a test case attachment can be deleted","3136","Verify a test case attachment can be deleted","API regression tests","2026-07-20","passed","2026-07-20","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Login with invalid credentials shows error","5165","Login with invalid credentials shows error","UI Regression tests","2026-07-20","passed","2026-07-20","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Create user","1","Verify user can be created","UI Regression tests","2026-07-20","unknown","2026-07-20","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","createUserTest"
"Update user's name","11258","Verify user's name can be updated","UI Regression tests","2026-07-20","passed","2026-07-20","Settings functionality tests","UI Tests","tests.ui.SettingsTest","updateUsersName"
"Verify created test data can be deleted","2392","Verify created test data can be deleted","API regression tests","2026-07-20","passed","2026-07-20","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","deleteTestRunData"
"Filter tests in run by status","34348","Filter tests in run by status","UI Regression tests","2026-07-20","passed","2026-07-20","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Add failed result with attachment","48808","Add failed result with attachment","UI Regression tests","2026-07-20","passed","2026-07-20","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Close test run","35181","Close test run","UI Regression tests","2026-07-20","passed","2026-07-20","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","closeRunTest"
"Log out from the application","9123","Log out from the application","UI Regression tests","2026-07-20","passed","2026-07-20","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Verify a result can be added to a test run","1302","Verify a result can be added to a test run","API regression tests","2026-07-20","passed","2026-07-20","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","addResultForCase"
"Session expires after clearing browser cookies","8519","Session expires after clearing browser cookies","UI Regression tests","2026-07-20","passed","2026-07-20","Authentication functionality tests","UI Tests","tests.ui.LoginTest","sessionExpiredAfterCookieClear"
"Delete test suite","25127","Delete test suite","UI Regression tests","2026-07-20","passed","2026-07-20","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","deleteSuiteTest"
"Verify project test runs can be retrieved","4500","Verify project test runs can be retrieved","API regression tests","2026-07-20","passed","2026-07-20","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getTestRuns"
"Move test case to another section via edit form","15270","Move test case to another section via edit form","UI Regression tests","2026-07-20","passed","2026-07-20","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Create and then delete a project","16928","Create and then delete a project","UI Regression tests","2026-07-20","passed","2026-07-20","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
"Update user data","0","Verify user data can be updated","UI Regression tests","2026-07-20","unknown","2026-07-20","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Delete user group","13125","Verify group can be deleted","UI Regression tests","2026-07-20","passed","2026-07-20","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
"Update milestone","32023","Verify milestone can be updated","UI Regression tests","2026-07-20","passed","2026-07-20","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","updateMilestoneTest"
"Create user group","13536","Verify group can be created","UI Regression tests","2026-07-20","passed","2026-07-20","Group management functionality tests","UI Tests","tests.ui.GroupTest","createGroupTest"
"Login with invalid credentials shows error","5204","Login with invalid credentials shows error","UI Regression tests","2026-07-20","passed","2026-07-20","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Verify a test case can be created","2319","Verify a test case can be created","API regression tests","2026-07-20","passed","2026-07-20","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
"Verify selection can be created","1423","Verify selection can be created","API regression tests","2026-07-20","passed","2026-07-20","Sections functionality tests","API Tests","tests.api.SectionAPITest","checkCreateSection"
"Verify created sections can be deleted","3400","Verify created sections can be deleted","API regression tests","2026-07-20","passed","2026-07-20","Sections functionality tests","API Tests","tests.api.SectionAPITest","deleteSections"
"View test run statistics","37362","View test run statistics","UI Regression tests","2026-07-20","passed","2026-07-20","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Verify the created project can be deleted","1206","Verify the created project can be deleted","API regression tests","2026-07-20","passed","2026-07-20","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Verify test run results can be retrieved","1040","Verify test run results can be retrieved","API regression tests","2026-07-20","passed","2026-07-20","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getResultsForRun"
"Complete milestone","31808","Verify milestone can be completed","UI Regression tests","2026-07-20","passed","2026-07-20","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Update role","14153","Verify role can be updated","UI Regression tests","2026-07-20","passed","2026-07-20","Role management functionality tests","UI Tests","tests.ui.RolesTest","updateRole"
"Create a new project","15063","Create a new project","UI Smoke tests","2026-07-20","passed","2026-07-20","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Open an existing test case","11035","Open an existing test case","UI Regression tests","2026-07-20","passed","2026-07-20","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","openTestCaseTest"
"Create a new test case","15933","Create a new test case","UI Smoke tests","2026-07-20","passed","2026-07-20","Test cases functionality tests","Smoke Tests","tests.ui.TestCaseTest","testCaseCreationTest"
"Compare results of two runs","45243","Compare results of two runs","UI Regression tests","2026-07-20","passed","2026-07-20","Reports functionality tests","UI Tests","tests.ui.ReportTest","compareRunsTest"
"Update user group","14940","Verify group can be updated","UI Regression tests","2026-07-20","passed","2026-07-20","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
"Verify the projects list can be retrieved","2052","Verify the projects list can be retrieved","API regression tests","2026-07-20","passed","2026-07-20","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"Check milestone data","29374","Verify milestone data is displayed","UI Regression tests","2026-07-20","passed","2026-07-20","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","checkMilestoneDataTest"
"Delete role","13563","Verify role can be deleted","UI Regression tests","2026-07-20","passed","2026-07-20","Role management functionality tests","UI Tests","tests.ui.RolesTest","deleteRole"
"Verify API authentication succeeds with valid credentials","5488","Verify API authentication succeeds with valid credentials","API regression tests","2026-07-20","passed","2026-07-20","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify the created section with the test case can be deleted","1055","Verify the created section with the test case can be deleted","API regression tests","2026-07-20","passed","2026-07-20","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Export run results to a file","34284","Export run results to a file","UI Regression tests","2026-07-20","passed","2026-07-20","Reports functionality tests","UI Tests","tests.ui.ReportTest","exportRunResultsTest"
"Create test suite","24456","Create test suite","UI Smoke tests","2026-07-20","passed","2026-07-20","Test suites functionality tests","Smoke Tests","tests.ui.TestSuiteTest","createSuiteTest"
"Verify an attachment can be added to a test case","4077","Verify an attachment can be added to a test case","API regression tests","2026-07-20","passed","2026-07-20","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Edit test case title via edit form","13283","Edit test case title via edit form","UI Regression tests","2026-07-20","passed","2026-07-20","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","editTestCaseTest"
"Verify a section can be moved into another section","3331","Verify a section can be moved into another section","API regression tests","2026-07-20","passed","2026-07-20","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Suite shows test cases count","22194","Suite shows test cases count","UI Regression tests","2026-07-20","passed","2026-07-20","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","suiteShowsCasesCountTest"
