"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Export run results to a file","59945","Export run results to a file","Surefire suite","2026-07-18","failed","2026-07-18","Reports functionality tests","Reports functionality tests","tests.ui.ReportTest","exportRunResultsTest"
"Priority change is reflected in case history","12847","Priority change is reflected in case history","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","priorityChangeInHistoryTest"
"Open an existing test case","9303","Open an existing test case","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","openTestCaseTest"
"Create and then delete a project","13793","Create and then delete a project","Surefire suite","2026-07-18","passed","2026-07-18","Project management functionality tests","Project management functionality tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
"Create user","14535","Verify user can be created","Surefire suite","2026-07-18","passed","2026-07-18","User management functionality tests","User management functionality tests","tests.ui.UserNRolesTest","createUserTest"
"Delete test suite","19259","Delete test suite","Surefire suite","2026-07-18","passed","2026-07-18","Test suites functionality tests","Test suites functionality tests","tests.ui.TestSuiteTest","deleteSuiteTest"
"Create a new project","12427","Create a new project","Surefire suite","2026-07-18","passed","2026-07-18","Project management functionality tests","Project management functionality tests","tests.ui.ProjectsTest","createProjectTest"
"Create test run","27893","Create test run","Surefire suite","2026-07-18","passed","2026-07-18","Test runs functionality tests","Test runs functionality tests","tests.ui.TestRunTest","createRunTest"
"Deactivate user","13891","Verify user can be deactivated","Surefire suite","2026-07-18","passed","2026-07-18","User management functionality tests","User management functionality tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Delete user group","12860","Verify group can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Group management functionality tests","Group management functionality tests","tests.ui.GroupTest","deleteGroupTest"
"Add test case to suite","21967","Add test case to suite","Surefire suite","2026-07-18","passed","2026-07-18","Test suites functionality tests","Test suites functionality tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Update user's name","9733","Verify user's name can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Settings functionality tests","Settings functionality tests","tests.ui.SettingsTest","updateUsersName"
"Login with invalid credentials shows error","13561","Login with invalid credentials shows error","Surefire suite","2026-07-18","failed","2026-07-18","Authentication functionality tests","Authentication functionality tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"View test run statistics","31545","View test run statistics","Surefire suite","2026-07-18","passed","2026-07-18","Reports functionality tests","Reports functionality tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Edit test case title via edit form","12629","Edit test case title via edit form","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","editTestCaseTest"
"Create role","10367","Verify role can be created","Surefire suite","2026-07-18","passed","2026-07-18","Role management functionality tests","Role management functionality tests","tests.ui.RolesTest","createRole"
"Delete role","12266","Verify role can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Role management functionality tests","Role management functionality tests","tests.ui.RolesTest","deleteRole"
"Change test case priority","11896","Change test case priority","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","changePriorityInTestCaseTest"
"Update user data","13105","Verify user data can be updated","Surefire suite","2026-07-18","passed","2026-07-18","User management functionality tests","User management functionality tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Close test run","29469","Close test run","Surefire suite","2026-07-18","passed","2026-07-18","Test runs functionality tests","Test runs functionality tests","tests.ui.TestRunTest","closeRunTest"
"Move test case to another section via edit form","12700","Move test case to another section via edit form","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Add failed result with attachment","44921","Add failed result with attachment","Surefire suite","2026-07-18","passed","2026-07-18","Test runs functionality tests","Test runs functionality tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Update user group","12274","Verify group can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Group management functionality tests","Group management functionality tests","tests.ui.GroupTest","updateGroupTest"
"Update role","13174","Verify role can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Role management functionality tests","Role management functionality tests","tests.ui.RolesTest","updateRole"
"Change color scheme","12397","Verify color scheme can be changed","Surefire suite","2026-07-18","passed","2026-07-18","Settings functionality tests","Settings functionality tests","tests.ui.SettingsTest","changeColorScheme"
"Check milestone data","23968","Verify milestone data is displayed","Surefire suite","2026-07-18","passed","2026-07-18","Milestones functionality tests","Milestones functionality tests","tests.ui.MilestoneTest","checkMilestoneDataTest"
