"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a project can be created","809","Verify a project can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","createProject"
"Verify test run results can be retrieved","994","Verify test run results can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","getResultsForRun"
"Verify a test run attachment can be deleted","2748","Verify a test run attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify a test case attachment can be deleted","2618","Verify a test case attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify a test case title can be updated","1029","Verify a test case title can be updated","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","updateTestCase"
"Verify the projects list can be retrieved","998","Verify the projects list can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","getProjects"
"Verify the created project can be deleted","868","Verify the created project can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","deleteProject"
"Verify a test case can be created","1833","Verify a test case can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","createTestCase"
"Verify API authentication fails with invalid credentials","782","Verify API authentication fails with invalid credentials","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AuthAPITest","Surefire test","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify a test run attachment can be retrieved","812","Verify a test run attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify a test case attachment can be retrieved","945","Verify a test case attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify a result can be added to a test run","956","Verify a result can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","addResultForCase"
"Verify created sections can be deleted","2694","Verify created sections can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","deleteSections"
"Verify API authentication succeeds with valid credentials","2828","Verify API authentication succeeds with valid credentials","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AuthAPITest","Surefire test","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify an attachment can be added to a test run","2403","Verify an attachment can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify a section can be updated","973","Verify a section can be updated","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","updateSection"
"Verify project test cases can be retrieved","853","Verify project test cases can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","getTestCases"
"Verify an attachment can be added to a test case","3515","Verify an attachment can be added to a test case","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify created test data can be deleted","2170","Verify created test data can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","deleteTestRunData"
"Verify selection can be created","1241","Verify selection can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","checkCreateSection"
"Verify project test runs can be retrieved","3617","Verify project test runs can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","getTestRuns"
"Verify the created section with the test case can be deleted","970","Verify the created section with the test case can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify a section can be moved into another section","2772","Verify a section can be moved into another section","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","moveSection"
