"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Close test run","32556","Close test run","UI Regression tests","2026-07-18","passed","2026-07-18","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","closeRunTest"
"Create a new project","13565","Create a new project","UI Regression tests","2026-07-18","passed","2026-07-18","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","createProjectTest"
"Verify a test case can be created","1760","Verify a test case can be created","API regression tests","2026-07-18","passed","2026-07-18","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
"Update user data","14848","Verify user data can be updated","UI Regression tests","2026-07-18","passed","2026-07-18","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Log out from the application","8884","Log out from the application","UI Regression tests","2026-07-18","passed","2026-07-18","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Verify the created project can be deleted","905","Verify the created project can be deleted","API regression tests","2026-07-18","passed","2026-07-18","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Session expires after clearing browser cookies","9250","Session expires after clearing browser cookies","UI Regression tests","2026-07-18","passed","2026-07-18","Authentication functionality tests","UI Tests","tests.ui.LoginTest","sessionExpiredAfterCookieClear"
"Delete role","13606","Verify role can be deleted","UI Regression tests","2026-07-18","passed","2026-07-18","Role management functionality tests","UI Tests","tests.ui.RolesTest","deleteRole"
"Login with invalid credentials shows error","14035","Login with invalid credentials shows error","UI Regression tests","2026-07-18","failed","2026-07-18","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Create a new test case","14173","Create a new test case","UI Regression tests","2026-07-18","passed","2026-07-18","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","testCaseCreationTest"
"Verify a section can be moved into another section","2874","Verify a section can be moved into another section","API regression tests","2026-07-18","passed","2026-07-18","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Login with valid credentials","8551","Login with valid credentials","UI Regression tests","2026-07-18","passed","2026-07-18","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginTest"
"Verify a test case attachment can be deleted","2706","Verify a test case attachment can be deleted","API regression tests","2026-07-18","passed","2026-07-18","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Update user group","14433","Verify group can be updated","UI Regression tests","2026-07-18","passed","2026-07-18","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
"View test run statistics","34629","View test run statistics","UI Regression tests","2026-07-18","passed","2026-07-18","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Check milestone data","27162","Verify milestone data is displayed","UI Regression tests","2026-07-18","passed","2026-07-18","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","checkMilestoneDataTest"
"Verify test run results can be retrieved","841","Verify test run results can be retrieved","API regression tests","2026-07-18","passed","2026-07-18","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getResultsForRun"
"Delete milestone","24101","Verify milestone can be deleted","UI Regression tests","2026-07-18","passed","2026-07-18","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Compare results of two runs","43179","Compare results of two runs","UI Regression tests","2026-07-18","passed","2026-07-18","Reports functionality tests","UI Tests","tests.ui.ReportTest","compareRunsTest"
"Create user group","13498","Verify group can be created","UI Regression tests","2026-07-18","passed","2026-07-18","Group management functionality tests","UI Tests","tests.ui.GroupTest","createGroupTest"
"Verify a test run attachment can be retrieved","1037","Verify a test run attachment can be retrieved","API regression tests","2026-07-18","passed","2026-07-18","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify created sections can be deleted","2667","Verify created sections can be deleted","API regression tests","2026-07-18","passed","2026-07-18","Sections functionality tests","API Tests","tests.api.SectionAPITest","deleteSections"
"Add test case to suite","24293","Add test case to suite","UI Regression tests","2026-07-18","passed","2026-07-18","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Move test case to another section via edit form","14526","Move test case to another section via edit form","UI Regression tests","2026-07-18","passed","2026-07-18","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Filter tests in run by status","32502","Filter tests in run by status","UI Regression tests","2026-07-18","passed","2026-07-18","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Fill a custom field (Preconditions) of a test case","13365","Fill a custom field of a test case","UI Regression tests","2026-07-18","passed","2026-07-18","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","fillCustomFieldTest"
"Verify a test case attachment can be retrieved","912","Verify a test case attachment can be retrieved","API regression tests","2026-07-18","passed","2026-07-18","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
