"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify created sections can be deleted","3434","Verify created sections can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","deleteSections"
"Verify a test run attachment can be deleted","2960","Verify a test run attachment can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify a test run attachment can be retrieved","1015","Verify a test run attachment can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify a section can be updated","1030","Verify a section can be updated","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
"Verify API authentication succeeds with valid credentials","5296","Verify API authentication succeeds with valid credentials","API regression tests","2026-07-19","passed","2026-07-19","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify project test runs can be retrieved","4580","Verify project test runs can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getTestRuns"
"Create a new project","13424","Create a new project","UI Smoke tests","2026-07-19","broken","2026-07-19","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Verify a test case attachment can be retrieved","1099","Verify a test case attachment can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Create test run","45842","Create test run","UI Smoke tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"Verify created test data can be deleted","2270","Verify created test data can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","deleteTestRunData"
"Verify project test cases can be retrieved","1047","Verify project test cases can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","getTestCases"
"Verify test run results can be retrieved","1120","Verify test run results can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getResultsForRun"
"Verify a test case can be created","2251","Verify a test case can be created","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
"Verify the projects list can be retrieved","1743","Verify the projects list can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"Verify selection can be created","1332","Verify selection can be created","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","checkCreateSection"
"Create a new test case","13795","Create a new test case","UI Smoke tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","Smoke Tests","tests.ui.TestCaseTest","testCaseCreationTest"
"Verify API authentication fails with invalid credentials","1094","Verify API authentication fails with invalid credentials","API regression tests","2026-07-19","passed","2026-07-19","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Create test suite","20773","Create test suite","UI Smoke tests","2026-07-19","passed","2026-07-19","Test suites functionality tests","Smoke Tests","tests.ui.TestSuiteTest","createSuiteTest"
"Verify a test case attachment can be deleted","2815","Verify a test case attachment can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify a test case title can be updated","1094","Verify a test case title can be updated","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","updateTestCase"
"Verify a project can be created","1052","Verify a project can be created","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","createProject"
"Login with valid credentials","7932","Login with valid credentials","UI Smoke tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","Smoke Tests","tests.ui.LoginTest","loginTest"
"Verify the created section with the test case can be deleted","1192","Verify the created section with the test case can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify a result can be added to a test run","1138","Verify a result can be added to a test run","API regression tests","2026-07-19","passed","2026-07-19","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","addResultForCase"
"Verify a section can be moved into another section","3395","Verify a section can be moved into another section","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Verify an attachment can be added to a test run","2748","Verify an attachment can be added to a test run","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify an attachment can be added to a test case","4334","Verify an attachment can be added to a test case","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify the created project can be deleted","1023","Verify the created project can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
