"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create and then delete a project","18236","Create and then delete a project","UI Regression tests","2026-07-22","passed","2026-07-22","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
"Verify the created project can be deleted","963","Verify the created project can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Open an existing test case","11653","Open an existing test case","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","openTestCaseTest"
"Delete role","14122","Verify role can be deleted","UI Regression tests","2026-07-22","passed","2026-07-22","Role management functionality tests","UI Tests","tests.ui.RolesTest","deleteRole"
"Create user group","25275","Verify group can be created","UI Regression tests","2026-07-22","passed","2026-07-22","Group management functionality tests","UI Tests","tests.ui.GroupTest","createGroupTest"
"Verify the projects list can be retrieved","1563","Verify the projects list can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"Update milestone","37826","Verify milestone can be updated","UI Regression tests","2026-07-22","passed","2026-07-22","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","updateMilestoneTest"
"Verify a test case title can be updated","1244","Verify a test case title can be updated","API regression tests","2026-07-22","passed","2026-07-22","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","updateTestCase"
"Verify an attachment can be added to a test run","2832","Verify an attachment can be added to a test run","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Update user group","15181","Verify group can be updated","UI Regression tests","2026-07-22","passed","2026-07-22","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
"Export run results to a file","37385","Export run results to a file","UI Regression tests","2026-07-22","failed","2026-07-22","Reports functionality tests","UI Tests","tests.ui.ReportTest","exportRunResultsTest"
"Create test run","76514","Create test run","UI Smoke tests","2026-07-22","passed","2026-07-22","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"Delete user group","14349","Verify group can be deleted","UI Regression tests","2026-07-22","passed","2026-07-22","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
"Log out from the application","9788","Log out from the application","UI Regression tests","2026-07-22","passed","2026-07-22","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Verify the created section with the test case can be deleted","1005","Verify the created section with the test case can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Fill a custom field (Preconditions) of a test case","13800","Fill a custom field of a test case","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","fillCustomFieldTest"
"Edit test case title via edit form","13015","Edit test case title via edit form","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","editTestCaseTest"
"Verify a result can be added to a test run","1096","Verify a result can be added to a test run","API regression tests","2026-07-22","passed","2026-07-22","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","addResultForCase"
"Create a new test case","14139","Create a new test case","UI Smoke tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","Smoke Tests","tests.ui.TestCaseTest","testCaseCreationTest"
