"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a test run attachment can be retrieved","834","Verify a test run attachment can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify test run results can be retrieved","853","Verify test run results can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getResultsForRun"
"Create milestone","27890","Verify milestone can be created","UI Regression tests","2026-07-22","passed","2026-07-22","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","createMilestoneTest"
"Verify a test case can be created","1635","Verify a test case can be created","API regression tests","2026-07-22","passed","2026-07-22","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
"Complete milestone","36708","Verify milestone can be completed","UI Regression tests","2026-07-22","passed","2026-07-22","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Add failed result with attachment","52813","Add failed result with attachment","UI Regression tests","2026-07-22","passed","2026-07-22","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Verify a test run attachment can be deleted","2228","Verify a test run attachment can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Create user","1","Verify user can be created","UI Regression tests","2026-07-22","unknown","2026-07-22","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","createUserTest"
"Compare results of two runs","48641","Compare results of two runs","UI Regression tests","2026-07-22","passed","2026-07-22","Reports functionality tests","UI Tests","tests.ui.ReportTest","compareRunsTest"
"Priority change is reflected in case history","14692","Priority change is reflected in case history","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","priorityChangeInHistoryTest"
"Change language","16856","Verify language can be changed","UI Regression tests","2026-07-22","passed","2026-07-22","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeLanguage"
"Verify project test cases can be retrieved","756","Verify project test cases can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","getTestCases"
"Verify the created project can be deleted","757","Verify the created project can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Delete milestone","31459","Verify milestone can be deleted","UI Regression tests","2026-07-22","passed","2026-07-22","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Verify API authentication succeeds with valid credentials","5044","Verify API authentication succeeds with valid credentials","API regression tests","2026-07-22","passed","2026-07-22","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify a project can be created","731","Verify a project can be created","API regression tests","2026-07-22","passed","2026-07-22","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","createProject"
"Update milestone","35377","Verify milestone can be updated","UI Regression tests","2026-07-22","passed","2026-07-22","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","updateMilestoneTest"
"View test run statistics","40013","View test run statistics","UI Regression tests","2026-07-22","passed","2026-07-22","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Verify a test case title can be updated","942","Verify a test case title can be updated","API regression tests","2026-07-22","passed","2026-07-22","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","updateTestCase"
"Verify an attachment can be added to a test run","2432","Verify an attachment can be added to a test run","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Open an existing test case","12007","Open an existing test case","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","openTestCaseTest"
"Verify a test case attachment can be retrieved","749","Verify a test case attachment can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Create user group","15160","Verify group can be created","UI Regression tests","2026-07-22","passed","2026-07-22","Group management functionality tests","UI Tests","tests.ui.GroupTest","createGroupTest"
"Verify a test case attachment can be deleted","2268","Verify a test case attachment can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify an attachment can be added to a test case","3103","Verify an attachment can be added to a test case","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Log out from the application","9347","Log out from the application","UI Regression tests","2026-07-22","passed","2026-07-22","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Deactivate user","0","Verify user can be deactivated","UI Regression tests","2026-07-22","unknown","2026-07-22","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Verify a section can be updated","758","Verify a section can be updated","API regression tests","2026-07-22","passed","2026-07-22","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
"Suite shows test cases count","23138","Suite shows test cases count","UI Regression tests","2026-07-22","passed","2026-07-22","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","suiteShowsCasesCountTest"
"Add passed result to a test","40474","Add passed result to a test","UI Regression tests","2026-07-22","passed","2026-07-22","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Verify selection can be created","1138","Verify selection can be created","API regression tests","2026-07-22","passed","2026-07-22","Sections functionality tests","API Tests","tests.api.SectionAPITest","checkCreateSection"
"Create test run","50230","Create test run","UI Smoke tests","2026-07-22","passed","2026-07-22","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"Delete test suite","25837","Delete test suite","UI Regression tests","2026-07-22","passed","2026-07-22","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","deleteSuiteTest"
"Change color scheme","16193","Verify color scheme can be changed","UI Regression tests","2026-07-22","passed","2026-07-22","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeColorScheme"
"Verify created sections can be deleted","2419","Verify created sections can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Sections functionality tests","API Tests","tests.api.SectionAPITest","deleteSections"
"Verify the created section with the test case can be deleted","753","Verify the created section with the test case can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Edit project name","19752","Edit project name","UI Regression tests","2026-07-22","passed","2026-07-22","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","editProjectNameTest"
"Verify a result can be added to a test run","861","Verify a result can be added to a test run","API regression tests","2026-07-22","passed","2026-07-22","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","addResultForCase"
"Create and then delete a test case","18331","Create and then delete a test case","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","testCaseCreationAndDeletionTest"
"Delete role","14630","Verify role can be deleted","UI Regression tests","2026-07-22","passed","2026-07-22","Role management functionality tests","UI Tests","tests.ui.RolesTest","deleteRole"
"Session expires after clearing browser cookies","8766","Session expires after clearing browser cookies","UI Regression tests","2026-07-22","passed","2026-07-22","Authentication functionality tests","UI Tests","tests.ui.LoginTest","sessionExpiredAfterCookieClear"
"Filter tests in run by status","38850","Filter tests in run by status","UI Regression tests","2026-07-22","passed","2026-07-22","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Update role","16489","Verify role can be updated","UI Regression tests","2026-07-22","passed","2026-07-22","Role management functionality tests","UI Tests","tests.ui.RolesTest","updateRole"
"Create a new test case","14992","Create a new test case","UI Smoke tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","Smoke Tests","tests.ui.TestCaseTest","testCaseCreationTest"
"Login with invalid credentials shows error","5305","Login with invalid credentials shows error","UI Regression tests","2026-07-22","passed","2026-07-22","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Export run results to a file","37679","Export run results to a file","UI Regression tests","2026-07-22","passed","2026-07-22","Reports functionality tests","UI Tests","tests.ui.ReportTest","exportRunResultsTest"
"Create role","12130","Verify role can be created","UI Regression tests","2026-07-22","passed","2026-07-22","Role management functionality tests","UI Tests","tests.ui.RolesTest","createRole"
"Fill a custom field (Preconditions) of a test case","14633","Fill a custom field of a test case","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","fillCustomFieldTest"
"Delete user group","14776","Verify group can be deleted","UI Regression tests","2026-07-22","passed","2026-07-22","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
"Verify project test runs can be retrieved","3185","Verify project test runs can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getTestRuns"
"Move test case to another section via edit form","14775","Move test case to another section via edit form","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Verify created test data can be deleted","1676","Verify created test data can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","deleteTestRunData"
"Verify a section can be moved into another section","2495","Verify a section can be moved into another section","API regression tests","2026-07-22","passed","2026-07-22","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Create a new project","14712","Create a new project","UI Smoke tests","2026-07-22","passed","2026-07-22","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Verify the projects list can be retrieved","1334","Verify the projects list can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"Create and then delete a project","18795","Create and then delete a project","UI Regression tests","2026-07-22","passed","2026-07-22","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
"Update user group","14578","Verify group can be updated","UI Regression tests","2026-07-22","passed","2026-07-22","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
"Login with invalid credentials shows error","5358","Login with invalid credentials shows error","UI Regression tests","2026-07-22","passed","2026-07-22","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Update user data","0","Verify user data can be updated","UI Regression tests","2026-07-22","unknown","2026-07-22","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Close test run","38536","Close test run","UI Regression tests","2026-07-22","passed","2026-07-22","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","closeRunTest"
"Update user's name","13549","Verify user's name can be updated","UI Regression tests","2026-07-22","passed","2026-07-22","Settings functionality tests","UI Tests","tests.ui.SettingsTest","updateUsersName"
"Edit test case title via edit form","14224","Edit test case title via edit form","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","editTestCaseTest"
"Verify API authentication fails with invalid credentials","717","Verify API authentication fails with invalid credentials","API regression tests","2026-07-22","passed","2026-07-22","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Create test suite","24305","Create test suite","UI Smoke tests","2026-07-22","passed","2026-07-22","Test suites functionality tests","Smoke Tests","tests.ui.TestSuiteTest","createSuiteTest"
"Change test case priority","13832","Change test case priority","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","changePriorityInTestCaseTest"
