"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify test run results can be retrieved","1","Verify test run results can be retrieved","Surefire suite","2026-07-17","failed","2026-07-17","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","getResultsForRun"
"Verify a test run attachment can be deleted","2481","Verify a test run attachment can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify the created project can be deleted","850","Verify the created project can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","deleteProject"
"Verify created sections can be deleted","2496","Verify created sections can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","deleteSections"
"Verify created test data can be deleted","1","Verify created test data can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","deleteTestRunData"
"Verify a section can be updated","878","Verify a section can be updated","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","updateSection"
"Verify project test runs can be retrieved","707","Verify project test runs can be retrieved","Surefire suite","2026-07-17","failed","2026-07-17","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","getTestRuns"
"Verify selection can be created","1591","Verify selection can be created","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","checkCreateSection"
"Verify a test case attachment can be deleted","2410","Verify a test case attachment can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify the projects list can be retrieved","733","Verify the projects list can be retrieved","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","getProjects"
"Verify API authentication fails with invalid credentials","753","Verify API authentication fails with invalid credentials","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AuthAPITest","Surefire test","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify a test case can be created","805","Verify a test case can be created","Surefire suite","2026-07-17","failed","2026-07-17","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","createTestCase"
"Verify a test case title can be updated","2","Verify a test case title can be updated","Surefire suite","2026-07-17","failed","2026-07-17","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","updateTestCase"
"Verify API authentication succeeds with valid credentials","3556","Verify API authentication succeeds with valid credentials","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AuthAPITest","Surefire test","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify the created section with the test case can be deleted","1","Verify the created section with the test case can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify an attachment can be added to a test case","3136","Verify an attachment can be added to a test case","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify a project can be created","712","Verify a project can be created","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","createProject"
"Verify a test run attachment can be retrieved","844","Verify a test run attachment can be retrieved","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify a section can be moved into another section","2332","Verify a section can be moved into another section","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","moveSection"
"Verify project test cases can be retrieved","1","Verify project test cases can be retrieved","Surefire suite","2026-07-17","failed","2026-07-17","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","getTestCases"
"Verify an attachment can be added to a test run","2231","Verify an attachment can be added to a test run","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify a test case attachment can be retrieved","713","Verify a test case attachment can be retrieved","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify a result can be added to a test run","1","Verify a result can be added to a test run","Surefire suite","2026-07-17","failed","2026-07-17","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","addResultForCase"
