"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a test case attachment can be deleted","2258","Verify a test case attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify the projects list can be retrieved","720","Verify the projects list can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Projects API functionality tests","Projects API functionality tests","tests.api.ProjectAPITest","getProjects"
"Verify project test cases can be retrieved","861","Verify project test cases can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","getTestCases"
"Verify created sections can be deleted","2501","Verify created sections can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","deleteSections"
"Verify a test case title can be updated","950","Verify a test case title can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","updateTestCase"
"Verify a section can be updated","755","Verify a section can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","updateSection"
"Verify a project can be created","717","Verify a project can be created","Surefire suite","2026-07-18","passed","2026-07-18","Projects API functionality tests","Projects API functionality tests","tests.api.ProjectAPITest","createProject"
"Verify API authentication fails with invalid credentials","636","Verify API authentication fails with invalid credentials","Surefire suite","2026-07-18","passed","2026-07-18","API authentication functionality tests","API authentication functionality tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify selection can be created","1471","Verify selection can be created","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","checkCreateSection"
"Verify a result can be added to a test run","819","Verify a result can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","addResultForCase"
"Verify test run results can be retrieved","826","Verify test run results can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","getResultsForRun"
"Verify a test case can be created","1657","Verify a test case can be created","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","createTestCase"
"Verify a test case attachment can be retrieved","811","Verify a test case attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify the created section with the test case can be deleted","731","Verify the created section with the test case can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify created test data can be deleted","1588","Verify created test data can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","deleteTestRunData"
"Verify API authentication succeeds with valid credentials","2922","Verify API authentication succeeds with valid credentials","Surefire suite","2026-07-18","passed","2026-07-18","API authentication functionality tests","API authentication functionality tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify a test run attachment can be deleted","2336","Verify a test run attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify project test runs can be retrieved","3217","Verify project test runs can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","getTestRuns"
"Verify the created project can be deleted","873","Verify the created project can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Projects API functionality tests","Projects API functionality tests","tests.api.ProjectAPITest","deleteProject"
"Verify a test run attachment can be retrieved","842","Verify a test run attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify a section can be moved into another section","2222","Verify a section can be moved into another section","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","moveSection"
"Verify an attachment can be added to a test run","2392","Verify an attachment can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify an attachment can be added to a test case","3120","Verify an attachment can be added to a test case","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
