"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update role","11743","Verify role can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Role management functionality tests","Role management functionality tests","tests.ui.RolesTest","updateRole"
"Open an existing test case","8941","Open an existing test case","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","openTestCaseTest"
"Complete milestone","24693","Verify milestone can be completed","Surefire suite","2026-07-18","passed","2026-07-18","Milestones functionality tests","Milestones functionality tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Change language","11056","Verify language can be changed","Surefire suite","2026-07-18","passed","2026-07-18","Settings functionality tests","Settings functionality tests","tests.ui.SettingsTest","changeLanguage"
"Verify a section can be moved into another section","2262","Verify a section can be moved into another section","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","moveSection"
"Add test case to suite","20420","Add test case to suite","Surefire suite","2026-07-18","passed","2026-07-18","Test suites functionality tests","Test suites functionality tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Verify a result can be added to a test run","823","Verify a result can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","addResultForCase"
"Verify project test runs can be retrieved","3256","Verify project test runs can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","getTestRuns"
"Verify an attachment can be added to a test case","3054","Verify an attachment can be added to a test case","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Create and then delete a test case","14324","Create and then delete a test case","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","testCaseCreationAndDeletionTest"
"Verify a test run attachment can be deleted","2325","Verify a test run attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Create role","9591","Verify role can be created","Surefire suite","2026-07-18","passed","2026-07-18","Role management functionality tests","Role management functionality tests","tests.ui.RolesTest","createRole"
"Export run results to a file","37859","Export run results to a file","Surefire suite","2026-07-18","failed","2026-07-18","Reports functionality tests","Reports functionality tests","tests.ui.ReportTest","exportRunResultsTest"
"Filter tests in run by status","27743","Filter tests in run by status","Surefire suite","2026-07-18","passed","2026-07-18","Test runs functionality tests","Test runs functionality tests","tests.ui.TestRunTest","filterByStatusTest"
"Priority change is reflected in case history","12326","Priority change is reflected in case history","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","priorityChangeInHistoryTest"
"Verify the created section with the test case can be deleted","900","Verify the created section with the test case can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify a section can be updated","873","Verify a section can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","updateSection"
"Create test suite","15748","Create test suite","Surefire suite","2026-07-18","passed","2026-07-18","Test suites functionality tests","Test suites functionality tests","tests.ui.TestSuiteTest","createSuiteTest"
"Create milestone","16654","Verify milestone can be created","Surefire suite","2026-07-18","passed","2026-07-18","Milestones functionality tests","Milestones functionality tests","tests.ui.MilestoneTest","createMilestoneTest"
"Verify API authentication succeeds with valid credentials","3761","Verify API authentication succeeds with valid credentials","Surefire suite","2026-07-18","passed","2026-07-18","API authentication functionality tests","API authentication functionality tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Create test run","26102","Create test run","Surefire suite","2026-07-18","passed","2026-07-18","Test runs functionality tests","Test runs functionality tests","tests.ui.TestRunTest","createRunTest"
"Update user group","11788","Verify group can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Group management functionality tests","Group management functionality tests","tests.ui.GroupTest","updateGroupTest"
"Login with invalid credentials shows error","13794","Login with invalid credentials shows error","Surefire suite","2026-07-18","failed","2026-07-18","Authentication functionality tests","Authentication functionality tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Verify project test cases can be retrieved","749","Verify project test cases can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","getTestCases"
"Create a new test case","12424","Create a new test case","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","testCaseCreationTest"
"Deactivate user","12920","Verify user can be deactivated","Surefire suite","2026-07-18","passed","2026-07-18","User management functionality tests","User management functionality tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Verify a test run attachment can be retrieved","795","Verify a test run attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify a test case attachment can be deleted","2479","Verify a test case attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Delete role","11530","Verify role can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Role management functionality tests","Role management functionality tests","tests.ui.RolesTest","deleteRole"
"Edit project name","14219","Edit project name","Surefire suite","2026-07-18","passed","2026-07-18","Project management functionality tests","Project management functionality tests","tests.ui.ProjectsTest","editProjectNameTest"
"Delete milestone","21137","Verify milestone can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Milestones functionality tests","Milestones functionality tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Verify created sections can be deleted","2515","Verify created sections can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","deleteSections"
"Add failed result with attachment","42489","Add failed result with attachment","Surefire suite","2026-07-18","passed","2026-07-18","Test runs functionality tests","Test runs functionality tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Check milestone data","22950","Verify milestone data is displayed","Surefire suite","2026-07-18","passed","2026-07-18","Milestones functionality tests","Milestones functionality tests","tests.ui.MilestoneTest","checkMilestoneDataTest"
"Verify selection can be created","1473","Verify selection can be created","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","checkCreateSection"
"Create and then delete a project","12873","Create and then delete a project","Surefire suite","2026-07-18","passed","2026-07-18","Project management functionality tests","Project management functionality tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
