"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify selection can be created","1066","Verify selection can be created","API regression tests","2026-07-18","passed","2026-07-18","Sections functionality tests","API Tests","tests.api.SectionAPITest","checkCreateSection"
"Verify the created section with the test case can be deleted","826","Verify the created section with the test case can be deleted","API regression tests","2026-07-18","passed","2026-07-18","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Update milestone","25736","Verify milestone can be updated","UI Regression tests","2026-07-18","passed","2026-07-18","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","updateMilestoneTest"
"Update user data","12344","Verify user data can be updated","UI Regression tests","2026-07-18","passed","2026-07-18","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Update user's name","10154","Verify user's name can be updated","UI Regression tests","2026-07-18","passed","2026-07-18","Settings functionality tests","UI Tests","tests.ui.SettingsTest","updateUsersName"
"Verify a test case title can be updated","928","Verify a test case title can be updated","API regression tests","2026-07-18","passed","2026-07-18","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","updateTestCase"
"Add passed result to a test","30459","Add passed result to a test","UI Regression tests","2026-07-18","passed","2026-07-18","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Complete milestone","25821","Verify milestone can be completed","UI Regression tests","2026-07-18","passed","2026-07-18","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Verify the created project can be deleted","879","Verify the created project can be deleted","API regression tests","2026-07-18","passed","2026-07-18","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Log out from the application","8222","Log out from the application","UI Regression tests","2026-07-18","passed","2026-07-18","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Create and then delete a project","14487","Create and then delete a project","UI Regression tests","2026-07-18","passed","2026-07-18","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
"Verify project test cases can be retrieved","1015","Verify project test cases can be retrieved","API regression tests","2026-07-18","passed","2026-07-18","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","getTestCases"
"Change language","12706","Verify language can be changed","UI Regression tests","2026-07-18","passed","2026-07-18","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeLanguage"
"View test run statistics","31142","View test run statistics","UI Regression tests","2026-07-18","passed","2026-07-18","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Verify a result can be added to a test run","1112","Verify a result can be added to a test run","API regression tests","2026-07-18","passed","2026-07-18","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","addResultForCase"
"Add failed result with attachment","38262","Add failed result with attachment","UI Regression tests","2026-07-18","passed","2026-07-18","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Delete user group","12493","Verify group can be deleted","UI Regression tests","2026-07-18","passed","2026-07-18","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
"Verify API authentication fails with invalid credentials","778","Verify API authentication fails with invalid credentials","API regression tests","2026-07-18","passed","2026-07-18","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Create test run","37114","Create test run","UI Smoke tests","2026-07-18","passed","2026-07-18","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"Move test case to another section via edit form","12439","Move test case to another section via edit form","UI Regression tests","2026-07-18","passed","2026-07-18","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
