"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deactivate user","0","Verify user can be deactivated","UI Regression tests","2026-07-23","unknown","2026-07-23","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Suite shows test cases count","11564","Suite shows test cases count","UI Regression tests","2026-07-23","failed","2026-07-23","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","suiteShowsCasesCountTest"
"Verify project test cases can be retrieved","965","Verify project test cases can be retrieved","API regression tests","2026-07-23","passed","2026-07-23","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","getTestCases"
"Verify a section can be updated","1506","Verify a section can be updated","API regression tests","2026-07-23","passed","2026-07-23","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
"Verify API authentication succeeds with valid credentials","4302","Verify API authentication succeeds with valid credentials","API regression tests","2026-07-23","passed","2026-07-23","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"View test run statistics","46190","View test run statistics","UI Regression tests","2026-07-23","passed","2026-07-23","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Create a new project","13754","Create a new project","UI Smoke tests","2026-07-23","passed","2026-07-23","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Create test run","44753","Create test run","UI Smoke tests","2026-07-23","passed","2026-07-23","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"Delete milestone","31307","Verify milestone can be deleted","UI Regression tests","2026-07-23","passed","2026-07-23","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Verify created sections can be deleted","3279","Verify created sections can be deleted","API regression tests","2026-07-23","passed","2026-07-23","Sections functionality tests","API Tests","tests.api.SectionAPITest","deleteSections"
"Create a new test case","14890","Create a new test case","UI Smoke tests","2026-07-23","passed","2026-07-23","Test cases functionality tests","Smoke Tests","tests.ui.TestCaseTest","testCaseCreationTest"
"Filter tests in run by status","40628","Filter tests in run by status","UI Regression tests","2026-07-23","passed","2026-07-23","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Log out from the application","10370","Log out from the application","UI Regression tests","2026-07-23","passed","2026-07-23","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Add passed result to a test","39649","Add passed result to a test","UI Regression tests","2026-07-23","passed","2026-07-23","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Delete user group","17686","Verify group can be deleted","UI Regression tests","2026-07-23","passed","2026-07-23","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
