"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a test case can be created","1652","Verify a test case can be created","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
"Fill a custom field (Preconditions) of a test case","12593","Fill a custom field of a test case","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","fillCustomFieldTest"
"Verify API authentication succeeds with valid credentials","4931","Verify API authentication succeeds with valid credentials","API regression tests","2026-07-19","passed","2026-07-19","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify a test case attachment can be retrieved","796","Verify a test case attachment can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify project test cases can be retrieved","897","Verify project test cases can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","getTestCases"
"Compare results of two runs","43851","Compare results of two runs","UI Regression tests","2026-07-19","passed","2026-07-19","Reports functionality tests","UI Tests","tests.ui.ReportTest","compareRunsTest"
"Verify a result can be added to a test run","826","Verify a result can be added to a test run","API regression tests","2026-07-19","passed","2026-07-19","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","addResultForCase"
"Log out from the application","8570","Log out from the application","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Update milestone","28699","Verify milestone can be updated","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","updateMilestoneTest"
"Priority change is reflected in case history","13251","Priority change is reflected in case history","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","priorityChangeInHistoryTest"
"Change test case priority","12023","Change test case priority","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","changePriorityInTestCaseTest"
"Verify test run results can be retrieved","818","Verify test run results can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getResultsForRun"
"Delete user group","12849","Verify group can be deleted","UI Regression tests","2026-07-19","passed","2026-07-19","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
"Login with invalid credentials shows error","5163","Login with invalid credentials shows error","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Verify selection can be created","990","Verify selection can be created","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","checkCreateSection"
"Verify a test run attachment can be retrieved","770","Verify a test run attachment can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify API authentication fails with invalid credentials","660","Verify API authentication fails with invalid credentials","API regression tests","2026-07-19","passed","2026-07-19","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify a test case attachment can be deleted","2460","Verify a test case attachment can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Edit project name","16640","Edit project name","UI Regression tests","2026-07-19","passed","2026-07-19","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","editProjectNameTest"
"Login with valid credentials","8485","Login with valid credentials","UI Smoke tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","Smoke Tests","tests.ui.LoginTest","loginTest"
"Verify project test runs can be retrieved","3261","Verify project test runs can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getTestRuns"
"Add test case to suite","25973","Add test case to suite","UI Regression tests","2026-07-19","passed","2026-07-19","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Filter tests in run by status","34002","Filter tests in run by status","UI Regression tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Create a new test case","14997","Create a new test case","UI Smoke tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","Smoke Tests","tests.ui.TestCaseTest","testCaseCreationTest"
"Update user's name","11379","Verify user's name can be updated","UI Regression tests","2026-07-19","passed","2026-07-19","Settings functionality tests","UI Tests","tests.ui.SettingsTest","updateUsersName"
"Delete role","12373","Verify role can be deleted","UI Regression tests","2026-07-19","passed","2026-07-19","Role management functionality tests","UI Tests","tests.ui.RolesTest","deleteRole"
"Create user group","12563","Verify group can be created","UI Regression tests","2026-07-19","passed","2026-07-19","Group management functionality tests","UI Tests","tests.ui.GroupTest","createGroupTest"
"Verify the created section with the test case can be deleted","758","Verify the created section with the test case can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Login with invalid credentials shows error","5146","Login with invalid credentials shows error","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Update role","13797","Verify role can be updated","UI Regression tests","2026-07-19","passed","2026-07-19","Role management functionality tests","UI Tests","tests.ui.RolesTest","updateRole"
"Verify a test run attachment can be deleted","2345","Verify a test run attachment can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify a section can be updated","874","Verify a section can be updated","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
"Verify an attachment can be added to a test run","2280","Verify an attachment can be added to a test run","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"View test run statistics","36178","View test run statistics","UI Regression tests","2026-07-19","passed","2026-07-19","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Delete milestone","24486","Verify milestone can be deleted","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Create milestone","21095","Verify milestone can be created","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","createMilestoneTest"
"Edit test case title via edit form","12136","Edit test case title via edit form","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","editTestCaseTest"
"Update user data","20192","Verify user data can be updated","UI Regression tests","2026-07-19","failed","2026-07-19","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Open an existing test case","9721","Open an existing test case","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","openTestCaseTest"
"Complete milestone","29348","Verify milestone can be completed","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Suite shows test cases count","21471","Suite shows test cases count","UI Regression tests","2026-07-19","passed","2026-07-19","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","suiteShowsCasesCountTest"
"Change language","13095","Verify language can be changed","UI Regression tests","2026-07-19","passed","2026-07-19","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeLanguage"
"Move test case to another section via edit form","13241","Move test case to another section via edit form","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Change color scheme","13955","Verify color scheme can be changed","UI Regression tests","2026-07-19","passed","2026-07-19","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeColorScheme"
"Create test run","64906","Create test run","UI Smoke tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"Session expires after clearing browser cookies","8574","Session expires after clearing browser cookies","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","sessionExpiredAfterCookieClear"
"Verify a section can be moved into another section","2490","Verify a section can be moved into another section","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Create a new project","14014","Create a new project","UI Smoke tests","2026-07-19","passed","2026-07-19","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Check milestone data","26255","Verify milestone data is displayed","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","checkMilestoneDataTest"
"Verify the created project can be deleted","831","Verify the created project can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Update user group","13045","Verify group can be updated","UI Regression tests","2026-07-19","passed","2026-07-19","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
"Create and then delete a project","15942","Create and then delete a project","UI Regression tests","2026-07-19","passed","2026-07-19","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
"Add passed result to a test","35140","Add passed result to a test","UI Regression tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Create and then delete a test case","16344","Create and then delete a test case","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","testCaseCreationAndDeletionTest"
"Verify the projects list can be retrieved","1249","Verify the projects list can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"Close test run","31884","Close test run","UI Regression tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","closeRunTest"
"Delete test suite","23829","Delete test suite","UI Regression tests","2026-07-19","passed","2026-07-19","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","deleteSuiteTest"
