"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Edit test case title via edit form","14334","Edit test case title via edit form","UI Regression tests","2026-07-23","passed","2026-07-23","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","editTestCaseTest"
"Verify an attachment can be added to a test case","3556","Verify an attachment can be added to a test case","API regression tests","2026-07-23","passed","2026-07-23","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Change color scheme","18512","Verify color scheme can be changed","UI Regression tests","2026-07-23","passed","2026-07-23","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeColorScheme"
"View test run statistics","43773","View test run statistics","UI Regression tests","2026-07-23","passed","2026-07-23","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Login with invalid credentials shows error","5155","Login with invalid credentials shows error","UI Regression tests","2026-07-23","passed","2026-07-23","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Add test case to suite","28745","Add test case to suite","UI Regression tests","2026-07-23","passed","2026-07-23","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Create user group","40455","Verify group can be created","UI Regression tests","2026-07-23","passed","2026-07-23","Group management functionality tests","UI Tests","tests.ui.GroupTest","createGroupTest"
"Verify the projects list can be retrieved","1390","Verify the projects list can be retrieved","API regression tests","2026-07-23","passed","2026-07-23","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"Verify an attachment can be added to a test run","2643","Verify an attachment can be added to a test run","API regression tests","2026-07-23","passed","2026-07-23","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Delete role","16503","Verify role can be deleted","UI Regression tests","2026-07-23","passed","2026-07-23","Role management functionality tests","UI Tests","tests.ui.RolesTest","deleteRole"
"Check milestone data","35791","Verify milestone data is displayed","UI Regression tests","2026-07-23","passed","2026-07-23","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","checkMilestoneDataTest"
"Suite shows test cases count","25038","Suite shows test cases count","UI Regression tests","2026-07-23","passed","2026-07-23","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","suiteShowsCasesCountTest"
"Verify a test case title can be updated","1040","Verify a test case title can be updated","API regression tests","2026-07-23","passed","2026-07-23","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","updateTestCase"
"Update role","17026","Verify role can be updated","UI Regression tests","2026-07-23","passed","2026-07-23","Role management functionality tests","UI Tests","tests.ui.RolesTest","updateRole"
"Verify a test run attachment can be deleted","2639","Verify a test run attachment can be deleted","API regression tests","2026-07-23","passed","2026-07-23","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify API authentication fails with invalid credentials","892","Verify API authentication fails with invalid credentials","API regression tests","2026-07-23","passed","2026-07-23","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Delete milestone","33400","Verify milestone can be deleted","UI Regression tests","2026-07-23","passed","2026-07-23","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Priority change is reflected in case history","15244","Priority change is reflected in case history","UI Regression tests","2026-07-23","passed","2026-07-23","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","priorityChangeInHistoryTest"
"Add failed result with attachment","42648","Add failed result with attachment","UI Regression tests","2026-07-23","passed","2026-07-23","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Fill a custom field (Preconditions) of a test case","14423","Fill a custom field of a test case","UI Regression tests","2026-07-23","passed","2026-07-23","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","fillCustomFieldTest"
"Verify the created project can be deleted","847","Verify the created project can be deleted","API regression tests","2026-07-23","passed","2026-07-23","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Verify project test cases can be retrieved","838","Verify project test cases can be retrieved","API regression tests","2026-07-23","passed","2026-07-23","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","getTestCases"
"Create test suite","25846","Create test suite","UI Smoke tests","2026-07-23","passed","2026-07-23","Test suites functionality tests","Smoke Tests","tests.ui.TestSuiteTest","createSuiteTest"
"Open an existing test case","12133","Open an existing test case","UI Regression tests","2026-07-23","passed","2026-07-23","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","openTestCaseTest"
"Deactivate user","0","Verify user can be deactivated","UI Regression tests","2026-07-23","unknown","2026-07-23","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Create a new project","30575","Create a new project","UI Smoke tests","2026-07-23","passed","2026-07-23","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Verify the created section with the test case can be deleted","863","Verify the created section with the test case can be deleted","API regression tests","2026-07-23","passed","2026-07-23","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Add passed result to a test","40216","Add passed result to a test","UI Regression tests","2026-07-23","passed","2026-07-23","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Complete milestone","38793","Verify milestone can be completed","UI Regression tests","2026-07-23","passed","2026-07-23","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Close test run","39524","Close test run","UI Regression tests","2026-07-23","passed","2026-07-23","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","closeRunTest"
"Verify a section can be updated","985","Verify a section can be updated","API regression tests","2026-07-23","passed","2026-07-23","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
"Verify a test case attachment can be retrieved","962","Verify a test case attachment can be retrieved","API regression tests","2026-07-23","passed","2026-07-23","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify selection can be created","1256","Verify selection can be created","API regression tests","2026-07-23","passed","2026-07-23","Sections functionality tests","API Tests","tests.api.SectionAPITest","checkCreateSection"
"Verify a result can be added to a test run","1061","Verify a result can be added to a test run","API regression tests","2026-07-23","passed","2026-07-23","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","addResultForCase"
"Update user group","16077","Verify group can be updated","UI Regression tests","2026-07-23","passed","2026-07-23","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
"Move test case to another section via edit form","15689","Move test case to another section via edit form","UI Regression tests","2026-07-23","passed","2026-07-23","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Verify test run results can be retrieved","825","Verify test run results can be retrieved","API regression tests","2026-07-23","passed","2026-07-23","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getResultsForRun"
"Verify a test case can be created","1867","Verify a test case can be created","API regression tests","2026-07-23","passed","2026-07-23","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
"Session expires after clearing browser cookies","8947","Session expires after clearing browser cookies","UI Regression tests","2026-07-23","passed","2026-07-23","Authentication functionality tests","UI Tests","tests.ui.LoginTest","sessionExpiredAfterCookieClear"
"Log out from the application","10252","Log out from the application","UI Regression tests","2026-07-23","passed","2026-07-23","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Edit project name","22525","Edit project name","UI Regression tests","2026-07-23","passed","2026-07-23","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","editProjectNameTest"
"Login with valid credentials","8837","Login with valid credentials","UI Smoke tests","2026-07-23","passed","2026-07-23","Authentication functionality tests","Smoke Tests","tests.ui.LoginTest","loginTest"
"Change language","17288","Verify language can be changed","UI Regression tests","2026-07-23","passed","2026-07-23","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeLanguage"
"Verify created test data can be deleted","1840","Verify created test data can be deleted","API regression tests","2026-07-23","passed","2026-07-23","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","deleteTestRunData"
"Create and then delete a project","19932","Create and then delete a project","UI Regression tests","2026-07-23","passed","2026-07-23","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
"Create milestone","25760","Verify milestone can be created","UI Regression tests","2026-07-23","passed","2026-07-23","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","createMilestoneTest"
"Verify project test runs can be retrieved","3768","Verify project test runs can be retrieved","API regression tests","2026-07-23","passed","2026-07-23","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getTestRuns"
"Verify a section can be moved into another section","2788","Verify a section can be moved into another section","API regression tests","2026-07-23","passed","2026-07-23","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Verify created sections can be deleted","2844","Verify created sections can be deleted","API regression tests","2026-07-23","passed","2026-07-23","Sections functionality tests","API Tests","tests.api.SectionAPITest","deleteSections"
"Update user's name","13466","Verify user's name can be updated","UI Regression tests","2026-07-23","passed","2026-07-23","Settings functionality tests","UI Tests","tests.ui.SettingsTest","updateUsersName"
"Export run results to a file","39785","Export run results to a file","UI Regression tests","2026-07-23","passed","2026-07-23","Reports functionality tests","UI Tests","tests.ui.ReportTest","exportRunResultsTest"
"Compare results of two runs","58969","Compare results of two runs","UI Regression tests","2026-07-23","failed","2026-07-23","Reports functionality tests","UI Tests","tests.ui.ReportTest","compareRunsTest"
"Create role","12569","Verify role can be created","UI Regression tests","2026-07-23","passed","2026-07-23","Role management functionality tests","UI Tests","tests.ui.RolesTest","createRole"
"Update user data","1","Verify user data can be updated","UI Regression tests","2026-07-23","unknown","2026-07-23","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Change test case priority","14861","Change test case priority","UI Regression tests","2026-07-23","passed","2026-07-23","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","changePriorityInTestCaseTest"
"Create and then delete a test case","19511","Create and then delete a test case","UI Regression tests","2026-07-23","passed","2026-07-23","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","testCaseCreationAndDeletionTest"
"Verify a test run attachment can be retrieved","851","Verify a test run attachment can be retrieved","API regression tests","2026-07-23","passed","2026-07-23","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify a project can be created","950","Verify a project can be created","API regression tests","2026-07-23","passed","2026-07-23","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","createProject"
"Delete user group","15401","Verify group can be deleted","UI Regression tests","2026-07-23","passed","2026-07-23","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
"Login with invalid credentials shows error","5225","Login with invalid credentials shows error","UI Regression tests","2026-07-23","passed","2026-07-23","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Create a new test case","15775","Create a new test case","UI Smoke tests","2026-07-23","passed","2026-07-23","Test cases functionality tests","Smoke Tests","tests.ui.TestCaseTest","testCaseCreationTest"
"Verify API authentication succeeds with valid credentials","4654","Verify API authentication succeeds with valid credentials","API regression tests","2026-07-23","passed","2026-07-23","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Create user","1","Verify user can be created","UI Regression tests","2026-07-23","unknown","2026-07-23","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","createUserTest"
"Delete test suite","26808","Delete test suite","UI Regression tests","2026-07-23","passed","2026-07-23","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","deleteSuiteTest"
"Update milestone","37987","Verify milestone can be updated","UI Regression tests","2026-07-23","passed","2026-07-23","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","updateMilestoneTest"
"Verify a test case attachment can be deleted","2456","Verify a test case attachment can be deleted","API regression tests","2026-07-23","passed","2026-07-23","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Filter tests in run by status","40206","Filter tests in run by status","UI Regression tests","2026-07-23","passed","2026-07-23","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Create test run","38357","Create test run","UI Smoke tests","2026-07-23","passed","2026-07-23","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
