"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify API authentication fails with invalid credentials","768","Verify API authentication fails with invalid credentials","API regression tests","2026-07-21","passed","2026-07-21","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Deactivate user","1","Verify user can be deactivated","UI Regression tests","2026-07-21","unknown","2026-07-21","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Compare results of two runs","51928","Compare results of two runs","UI Regression tests","2026-07-21","passed","2026-07-21","Reports functionality tests","UI Tests","tests.ui.ReportTest","compareRunsTest"
"Add passed result to a test","42318","Add passed result to a test","UI Regression tests","2026-07-21","passed","2026-07-21","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Add failed result with attachment","47502","Add failed result with attachment","UI Regression tests","2026-07-21","passed","2026-07-21","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Verify created test data can be deleted","1773","Verify created test data can be deleted","API regression tests","2026-07-21","passed","2026-07-21","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","deleteTestRunData"
"Verify a section can be moved into another section","2404","Verify a section can be moved into another section","API regression tests","2026-07-21","passed","2026-07-21","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Update role","17139","Verify role can be updated","UI Regression tests","2026-07-21","passed","2026-07-21","Role management functionality tests","UI Tests","tests.ui.RolesTest","updateRole"
"Verify the created project can be deleted","754","Verify the created project can be deleted","API regression tests","2026-07-21","passed","2026-07-21","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Verify a section can be updated","883","Verify a section can be updated","API regression tests","2026-07-21","passed","2026-07-21","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
"Verify the created section with the test case can be deleted","849","Verify the created section with the test case can be deleted","API regression tests","2026-07-21","passed","2026-07-21","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Filter tests in run by status","39244","Filter tests in run by status","UI Regression tests","2026-07-21","passed","2026-07-21","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Create user","0","Verify user can be created","UI Regression tests","2026-07-21","unknown","2026-07-21","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","createUserTest"
"Complete milestone","36694","Verify milestone can be completed","UI Regression tests","2026-07-21","passed","2026-07-21","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Suite shows test cases count","25682","Suite shows test cases count","UI Regression tests","2026-07-21","passed","2026-07-21","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","suiteShowsCasesCountTest"
"Update user data","1","Verify user data can be updated","UI Regression tests","2026-07-21","unknown","2026-07-21","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Move test case to another section via edit form","18179","Move test case to another section via edit form","UI Regression tests","2026-07-21","passed","2026-07-21","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Verify an attachment can be added to a test case","3122","Verify an attachment can be added to a test case","API regression tests","2026-07-21","passed","2026-07-21","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Create and then delete a test case","20421","Create and then delete a test case","UI Regression tests","2026-07-21","passed","2026-07-21","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","testCaseCreationAndDeletionTest"
"Login with invalid credentials shows error","6056","Login with invalid credentials shows error","UI Regression tests","2026-07-21","passed","2026-07-21","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Create test run","40597","Create test run","UI Smoke tests","2026-07-21","passed","2026-07-21","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"Update user group","16979","Verify group can be updated","UI Regression tests","2026-07-21","passed","2026-07-21","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
