"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Edit project name","24458","Edit project name","UI Regression tests","2026-07-20","failed","2026-07-20","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","editProjectNameTest"
"Deactivate user","0","Verify user can be deactivated","UI Regression tests","2026-07-20","unknown","2026-07-20","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Export run results to a file","33550","Export run results to a file","UI Regression tests","2026-07-20","passed","2026-07-20","Reports functionality tests","UI Tests","tests.ui.ReportTest","exportRunResultsTest"
"Verify an attachment can be added to a test run","2263","Verify an attachment can be added to a test run","API regression tests","2026-07-20","passed","2026-07-20","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Create milestone","22929","Verify milestone can be created","UI Regression tests","2026-07-20","passed","2026-07-20","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","createMilestoneTest"
"Verify the created project can be deleted","751","Verify the created project can be deleted","API regression tests","2026-07-20","passed","2026-07-20","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Create and then delete a test case","16564","Create and then delete a test case","UI Regression tests","2026-07-20","passed","2026-07-20","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","testCaseCreationAndDeletionTest"
"Create user group","13481","Verify group can be created","UI Regression tests","2026-07-20","passed","2026-07-20","Group management functionality tests","UI Tests","tests.ui.GroupTest","createGroupTest"
"Verify the created section with the test case can be deleted","872","Verify the created section with the test case can be deleted","API regression tests","2026-07-20","passed","2026-07-20","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Create test suite","20207","Create test suite","UI Smoke tests","2026-07-20","passed","2026-07-20","Test suites functionality tests","Smoke Tests","tests.ui.TestSuiteTest","createSuiteTest"
"Log out from the application","8570","Log out from the application","UI Regression tests","2026-07-20","passed","2026-07-20","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Change language","13979","Verify language can be changed","UI Regression tests","2026-07-20","passed","2026-07-20","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeLanguage"
"Verify project test runs can be retrieved","3428","Verify project test runs can be retrieved","API regression tests","2026-07-20","passed","2026-07-20","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getTestRuns"
"Edit test case title via edit form","21023","Edit test case title via edit form","UI Regression tests","2026-07-20","failed","2026-07-20","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","editTestCaseTest"
"Create a new project","12948","Create a new project","UI Smoke tests","2026-07-20","passed","2026-07-20","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Create user","1","Verify user can be created","UI Regression tests","2026-07-20","unknown","2026-07-20","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","createUserTest"
"Verify a test case title can be updated","1015","Verify a test case title can be updated","API regression tests","2026-07-20","passed","2026-07-20","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","updateTestCase"
"Change test case priority","12669","Change test case priority","UI Regression tests","2026-07-20","passed","2026-07-20","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","changePriorityInTestCaseTest"
"Fill a custom field (Preconditions) of a test case","14524","Fill a custom field of a test case","UI Regression tests","2026-07-20","passed","2026-07-20","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","fillCustomFieldTest"
"Verify API authentication fails with invalid credentials","682","Verify API authentication fails with invalid credentials","API regression tests","2026-07-20","passed","2026-07-20","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Login with invalid credentials shows error","5360","Login with invalid credentials shows error","UI Regression tests","2026-07-20","passed","2026-07-20","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Move test case to another section via edit form","14054","Move test case to another section via edit form","UI Regression tests","2026-07-20","passed","2026-07-20","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Verify a test run attachment can be deleted","2551","Verify a test run attachment can be deleted","API regression tests","2026-07-20","passed","2026-07-20","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Delete milestone","26189","Verify milestone can be deleted","UI Regression tests","2026-07-20","passed","2026-07-20","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Verify created sections can be deleted","2549","Verify created sections can be deleted","API regression tests","2026-07-20","passed","2026-07-20","Sections functionality tests","API Tests","tests.api.SectionAPITest","deleteSections"
"Create test run","37006","Create test run","UI Smoke tests","2026-07-20","passed","2026-07-20","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"View test run statistics","38146","View test run statistics","UI Regression tests","2026-07-20","passed","2026-07-20","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Complete milestone","29630","Verify milestone can be completed","UI Regression tests","2026-07-20","passed","2026-07-20","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Verify an attachment can be added to a test case","3062","Verify an attachment can be added to a test case","API regression tests","2026-07-20","passed","2026-07-20","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify test run results can be retrieved","742","Verify test run results can be retrieved","API regression tests","2026-07-20","passed","2026-07-20","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getResultsForRun"
"Add test case to suite","26851","Add test case to suite","UI Regression tests","2026-07-20","passed","2026-07-20","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Session expires after clearing browser cookies","8652","Session expires after clearing browser cookies","UI Regression tests","2026-07-20","passed","2026-07-20","Authentication functionality tests","UI Tests","tests.ui.LoginTest","sessionExpiredAfterCookieClear"
"Update user's name","12192","Verify user's name can be updated","UI Regression tests","2026-07-20","passed","2026-07-20","Settings functionality tests","UI Tests","tests.ui.SettingsTest","updateUsersName"
"Open an existing test case","9632","Open an existing test case","UI Regression tests","2026-07-20","passed","2026-07-20","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","openTestCaseTest"
"Verify selection can be created","1017","Verify selection can be created","API regression tests","2026-07-20","passed","2026-07-20","Sections functionality tests","API Tests","tests.api.SectionAPITest","checkCreateSection"
"Update milestone","29982","Verify milestone can be updated","UI Regression tests","2026-07-20","passed","2026-07-20","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","updateMilestoneTest"
"Login with invalid credentials shows error","5355","Login with invalid credentials shows error","UI Regression tests","2026-07-20","passed","2026-07-20","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Add failed result with attachment","45416","Add failed result with attachment","UI Regression tests","2026-07-20","passed","2026-07-20","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Login with valid credentials","8650","Login with valid credentials","UI Smoke tests","2026-07-20","passed","2026-07-20","Authentication functionality tests","Smoke Tests","tests.ui.LoginTest","loginTest"
"Verify a test case can be created","1650","Verify a test case can be created","API regression tests","2026-07-20","passed","2026-07-20","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
"Verify a test run attachment can be retrieved","876","Verify a test run attachment can be retrieved","API regression tests","2026-07-20","passed","2026-07-20","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Update user data","0","Verify user data can be updated","UI Regression tests","2026-07-20","unknown","2026-07-20","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Verify a project can be created","742","Verify a project can be created","API regression tests","2026-07-20","passed","2026-07-20","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","createProject"
"Verify API authentication succeeds with valid credentials","4973","Verify API authentication succeeds with valid credentials","API regression tests","2026-07-20","passed","2026-07-20","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Delete user group","12759","Verify group can be deleted","UI Regression tests","2026-07-20","passed","2026-07-20","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
"Add passed result to a test","36203","Add passed result to a test","UI Regression tests","2026-07-20","passed","2026-07-20","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Verify a test case attachment can be retrieved","888","Verify a test case attachment can be retrieved","API regression tests","2026-07-20","passed","2026-07-20","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Change color scheme","14433","Verify color scheme can be changed","UI Regression tests","2026-07-20","passed","2026-07-20","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeColorScheme"
"Verify a section can be updated","761","Verify a section can be updated","API regression tests","2026-07-20","passed","2026-07-20","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
