"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a section can be updated","979","Verify a section can be updated","API regression tests","2026-07-22","passed","2026-07-22","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
"Add failed result with attachment","47543","Add failed result with attachment","UI Regression tests","2026-07-22","passed","2026-07-22","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addFailedResultWithAttachmentTest"
"Open an existing test case","12688","Open an existing test case","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","openTestCaseTest"
"Verify the created section with the test case can be deleted","1056","Verify the created section with the test case can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify a test case attachment can be retrieved","1091","Verify a test case attachment can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Deactivate user","1","Verify user can be deactivated","UI Regression tests","2026-07-22","unknown","2026-07-22","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Verify created test data can be deleted","2014","Verify created test data can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","deleteTestRunData"
"Verify a test case can be created","2197","Verify a test case can be created","API regression tests","2026-07-22","passed","2026-07-22","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
"Verify a section can be moved into another section","3141","Verify a section can be moved into another section","API regression tests","2026-07-22","passed","2026-07-22","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Move test case to another section via edit form","18401","Move test case to another section via edit form","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Export run results to a file","41370","Export run results to a file","UI Regression tests","2026-07-22","passed","2026-07-22","Reports functionality tests","UI Tests","tests.ui.ReportTest","exportRunResultsTest"
"Fill a custom field (Preconditions) of a test case","15634","Fill a custom field of a test case","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","fillCustomFieldTest"
"Verify a project can be created","1011","Verify a project can be created","API regression tests","2026-07-22","passed","2026-07-22","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","createProject"
"Update user's name","14758","Verify user's name can be updated","UI Regression tests","2026-07-22","passed","2026-07-22","Settings functionality tests","UI Tests","tests.ui.SettingsTest","updateUsersName"
"Create test suite","24185","Create test suite","UI Smoke tests","2026-07-22","passed","2026-07-22","Test suites functionality tests","Smoke Tests","tests.ui.TestSuiteTest","createSuiteTest"
"Create role","13789","Verify role can be created","UI Regression tests","2026-07-22","passed","2026-07-22","Role management functionality tests","UI Tests","tests.ui.RolesTest","createRole"
"Verify the created project can be deleted","1092","Verify the created project can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","deleteProject"
"Compare results of two runs","52760","Compare results of two runs","UI Regression tests","2026-07-22","passed","2026-07-22","Reports functionality tests","UI Tests","tests.ui.ReportTest","compareRunsTest"
"Create a new project","14608","Create a new project","UI Smoke tests","2026-07-22","passed","2026-07-22","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Change color scheme","17954","Verify color scheme can be changed","UI Regression tests","2026-07-22","passed","2026-07-22","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeColorScheme"
"Verify a test run attachment can be retrieved","982","Verify a test run attachment can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Add passed result to a test","42609","Add passed result to a test","UI Regression tests","2026-07-22","passed","2026-07-22","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Verify selection can be created","1249","Verify selection can be created","API regression tests","2026-07-22","passed","2026-07-22","Sections functionality tests","API Tests","tests.api.SectionAPITest","checkCreateSection"
"Edit test case title via edit form","15598","Edit test case title via edit form","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","editTestCaseTest"
"Change language","19923","Verify language can be changed","UI Regression tests","2026-07-22","passed","2026-07-22","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeLanguage"
"Filter tests in run by status","42434","Filter tests in run by status","UI Regression tests","2026-07-22","passed","2026-07-22","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Create milestone","27876","Verify milestone can be created","UI Regression tests","2026-07-22","passed","2026-07-22","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","createMilestoneTest"
"Update milestone","38612","Verify milestone can be updated","UI Regression tests","2026-07-22","passed","2026-07-22","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","updateMilestoneTest"
"View test run statistics","44699","View test run statistics","UI Regression tests","2026-07-22","passed","2026-07-22","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Session expires after clearing browser cookies","10554","Session expires after clearing browser cookies","UI Regression tests","2026-07-22","passed","2026-07-22","Authentication functionality tests","UI Tests","tests.ui.LoginTest","sessionExpiredAfterCookieClear"
"Verify API authentication fails with invalid credentials","947","Verify API authentication fails with invalid credentials","API regression tests","2026-07-22","passed","2026-07-22","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Create user","2","Verify user can be created","UI Regression tests","2026-07-22","unknown","2026-07-22","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","createUserTest"
"Verify test run results can be retrieved","957","Verify test run results can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getResultsForRun"
"Verify a test run attachment can be deleted","2972","Verify a test run attachment can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify an attachment can be added to a test run","2862","Verify an attachment can be added to a test run","API regression tests","2026-07-22","passed","2026-07-22","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify a test case title can be updated","1031","Verify a test case title can be updated","API regression tests","2026-07-22","passed","2026-07-22","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","updateTestCase"
"Edit project name","22195","Edit project name","UI Regression tests","2026-07-22","passed","2026-07-22","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","editProjectNameTest"
"Create user group","16141","Verify group can be created","UI Regression tests","2026-07-22","passed","2026-07-22","Group management functionality tests","UI Tests","tests.ui.GroupTest","createGroupTest"
"Login with valid credentials","8552","Login with valid credentials","UI Smoke tests","2026-07-22","passed","2026-07-22","Authentication functionality tests","Smoke Tests","tests.ui.LoginTest","loginTest"
"Complete milestone","39798","Verify milestone can be completed","UI Regression tests","2026-07-22","passed","2026-07-22","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Verify project test runs can be retrieved","4016","Verify project test runs can be retrieved","API regression tests","2026-07-22","passed","2026-07-22","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","getTestRuns"
"Verify a result can be added to a test run","1051","Verify a result can be added to a test run","API regression tests","2026-07-22","passed","2026-07-22","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","addResultForCase"
"Create test run","48538","Create test run","UI Smoke tests","2026-07-22","passed","2026-07-22","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"Change test case priority","16784","Change test case priority","UI Regression tests","2026-07-22","passed","2026-07-22","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","changePriorityInTestCaseTest"
"Check milestone data","37143","Verify milestone data is displayed","UI Regression tests","2026-07-22","passed","2026-07-22","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","checkMilestoneDataTest"
"Verify created sections can be deleted","2967","Verify created sections can be deleted","API regression tests","2026-07-22","passed","2026-07-22","Sections functionality tests","API Tests","tests.api.SectionAPITest","deleteSections"
"Update user group","17094","Verify group can be updated","UI Regression tests","2026-07-22","passed","2026-07-22","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
"Login with invalid credentials shows error","6230","Login with invalid credentials shows error","UI Regression tests","2026-07-22","passed","2026-07-22","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
