"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify an attachment can be added to a test case","3901","Verify an attachment can be added to a test case","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify the created section with the test case can be deleted","1095","Verify the created section with the test case can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify a project can be created","961","Verify a project can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","createProject"
"Verify an attachment can be added to a test run","2863","Verify an attachment can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify project test runs can be retrieved","4074","Verify project test runs can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","getTestRuns"
"Verify created test data can be deleted","2123","Verify created test data can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","deleteTestRunData"
"Verify created sections can be deleted","3087","Verify created sections can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","deleteSections"
"Verify a test run attachment can be deleted","2877","Verify a test run attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify a result can be added to a test run","1278","Verify a result can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","addResultForCase"
"Verify a test case can be created","2022","Verify a test case can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","createTestCase"
"Verify a test case attachment can be retrieved","991","Verify a test case attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify project test cases can be retrieved","1099","Verify project test cases can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","getTestCases"
"Verify the projects list can be retrieved","1077","Verify the projects list can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","getProjects"
"Verify test run results can be retrieved","1065","Verify test run results can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","getResultsForRun"
"Verify the created project can be deleted","1149","Verify the created project can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","deleteProject"
"Verify selection can be created","1718","Verify selection can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","checkCreateSection"
"Verify a test case title can be updated","1192","Verify a test case title can be updated","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","updateTestCase"
"Verify API authentication succeeds with valid credentials","3748","Verify API authentication succeeds with valid credentials","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AuthAPITest","Surefire test","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify a test run attachment can be retrieved","1070","Verify a test run attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify API authentication fails with invalid credentials","872","Verify API authentication fails with invalid credentials","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AuthAPITest","Surefire test","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify a section can be updated","1027","Verify a section can be updated","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","updateSection"
"Verify a test case attachment can be deleted","2674","Verify a test case attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify a section can be moved into another section","3397","Verify a section can be moved into another section","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","moveSection"
