"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a test run attachment can be retrieved","839","Verify a test run attachment can be retrieved","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify a test run attachment can be deleted","2419","Verify a test run attachment can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify an attachment can be added to a test case","3212","Verify an attachment can be added to a test case","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify selection can be created","4647","Verify selection can be created","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","checkCreateSection"
"Verify a test case attachment can be deleted","2435","Verify a test case attachment can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify created sections can be deleted","2574","Verify created sections can be deleted","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","deleteSections"
"Verify an attachment can be added to a test run","2248","Verify an attachment can be added to a test run","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify a section can be moved into another section","2484","Verify a section can be moved into another section","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","moveSection"
"Verify a test case attachment can be retrieved","907","Verify a test case attachment can be retrieved","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify a section can be updated","819","Verify a section can be updated","Surefire suite","2026-07-17","passed","2026-07-17","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","updateSection"
