"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Compare results of two runs","44028","Compare results of two runs","UI Regression tests","2026-07-19","passed","2026-07-19","Reports functionality tests","UI Tests","tests.ui.ReportTest","compareRunsTest"
"Verify a section can be updated","1122","Verify a section can be updated","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","updateSection"
"Move test case to another section via edit form","13867","Move test case to another section via edit form","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Verify a test run attachment can be retrieved","1129","Verify a test run attachment can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify the projects list can be retrieved","1615","Verify the projects list can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"Edit project name","16452","Edit project name","UI Regression tests","2026-07-19","passed","2026-07-19","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","editProjectNameTest"
"Verify a section can be moved into another section","3216","Verify a section can be moved into another section","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Deactivate user","20163","Verify user can be deactivated","UI Regression tests","2026-07-19","failed","2026-07-19","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Update user group","13601","Verify group can be updated","UI Regression tests","2026-07-19","passed","2026-07-19","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
"Verify API authentication fails with invalid credentials","887","Verify API authentication fails with invalid credentials","API regression tests","2026-07-19","passed","2026-07-19","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify a test case title can be updated","1184","Verify a test case title can be updated","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","updateTestCase"
"Login with valid credentials","8341","Login with valid credentials","UI Smoke tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","Smoke Tests","tests.ui.LoginTest","loginTest"
"Open an existing test case","10076","Open an existing test case","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","openTestCaseTest"
"Suite shows test cases count","20432","Suite shows test cases count","UI Regression tests","2026-07-19","passed","2026-07-19","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","suiteShowsCasesCountTest"
"Create user","19611","Verify user can be created","UI Regression tests","2026-07-19","failed","2026-07-19","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","createUserTest"
"Create milestone","21180","Verify milestone can be created","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","createMilestoneTest"
"Verify a project can be created","1002","Verify a project can be created","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","createProject"
"Create test run","39806","Create test run","UI Smoke tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","Smoke Tests","tests.ui.TestRunTest","createRunTest"
"Add test case to suite","25811","Add test case to suite","UI Regression tests","2026-07-19","passed","2026-07-19","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","addCaseToSuiteTest"
"Session expires after clearing browser cookies","8442","Session expires after clearing browser cookies","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","sessionExpiredAfterCookieClear"
"Log out from the application","8689","Log out from the application","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Change language","12850","Verify language can be changed","UI Regression tests","2026-07-19","passed","2026-07-19","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeLanguage"
"Change test case priority","13393","Change test case priority","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","changePriorityInTestCaseTest"
