"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify project test cases can be retrieved","873","Verify project test cases can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","getTestCases"
"Verify a project can be created","753","Verify a project can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","createProject"
"Verify a test case can be created","1503","Verify a test case can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","createTestCase"
"Verify a section can be moved into another section","2651","Verify a section can be moved into another section","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","moveSection"
"Verify a test case attachment can be retrieved","875","Verify a test case attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify an attachment can be added to a test case","3108","Verify an attachment can be added to a test case","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify the created section with the test case can be deleted","866","Verify the created section with the test case can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify the created project can be deleted","871","Verify the created project can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","deleteProject"
"Verify API authentication fails with invalid credentials","644","Verify API authentication fails with invalid credentials","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AuthAPITest","Surefire test","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify a section can be updated","773","Verify a section can be updated","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","updateSection"
"Verify a test case attachment can be deleted","2198","Verify a test case attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify a result can be added to a test run","1005","Verify a result can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","addResultForCase"
"Verify the projects list can be retrieved","821","Verify the projects list can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","getProjects"
"Verify test run results can be retrieved","837","Verify test run results can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","getResultsForRun"
"Verify a test run attachment can be deleted","2520","Verify a test run attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify project test runs can be retrieved","3196","Verify project test runs can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","getTestRuns"
"Verify selection can be created","1345","Verify selection can be created","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","checkCreateSection"
"Verify a test run attachment can be retrieved","766","Verify a test run attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify API authentication succeeds with valid credentials","3845","Verify API authentication succeeds with valid credentials","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AuthAPITest","Surefire test","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Verify an attachment can be added to a test run","2395","Verify an attachment can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.AttachmentAPITest","Surefire test","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify a test case title can be updated","801","Verify a test case title can be updated","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestCaseAPITest","Surefire test","tests.api.TestCaseAPITest","updateTestCase"
"Verify created test data can be deleted","1629","Verify created test data can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.TestRunAPITest","Surefire test","tests.api.TestRunAPITest","deleteTestRunData"
"Verify created sections can be deleted","2617","Verify created sections can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","tests.api.SectionAPITest","Surefire test","tests.api.SectionAPITest","deleteSections"
